Country/Region,Province/State,Latitude,Longitude,Confirmed,Recovered,Deaths,Date,esta
China,Yunnan,24.470342074184316,115.75265933422588,2.0,,,2020-01-23,si
China,Zhejiang,32.84641934978151,120.60470565763656,27.0,,,2020-01-23,si
Japan,,35.11713068133629,136.9893309471018,1.0,,,2020-01-23,si
Thailand,,15.697244134736101,100.20309285300127,3.0,,,2020-01-23,si
South Korea,,36.54402766427807,129.27452106638637,1.0,,,2020-01-23,si
Singapore,,1.3132761650488614,103.90979989632135,1.0,,,2020-01-23,si
Philippines,,9.029440365125083,118.06760025328657,,,,2020-01-23,si
Malaysia,,2.408578250499525,102.61401665685975,,,,2020-01-23,si
Vietnam,,12.40304914212186,108.05812441795582,2.0,,,2020-01-23,si
Australia,,-20.132601003394505,146.77261350054738,,,,2020-01-23,si
Mexico,,15.958329290309013,-92.78139696728005,,,,2020-01-23,si
