Country/Region,Province/State,Latitude,Longitude,Confirmed,Recovered,Deaths,Date,All
China,Hunan,32.94835000354342,88.34955683222029,9.0,,,2020-01-23,1
China,Inner Mongolia,33.58311083151781,102.73390508134717,,,,2020-01-23,1
China,Jiangsu,37.8227722729912,93.75658476604235,5.0,,,2020-01-23,1
China,Jiangxi,39.37272482704677,79.60145041000432,7.0,,,2020-01-23,1
China,Jilin,32.94980626856149,110.6720574449697,1.0,,,2020-01-23,1
China,Liaoning,40.678368151635496,96.29933507520805,3.0,,,2020-01-23,1
Macau,Macau,22.1667,113.55,2.0,,,2020-01-23,1
China,Ningxia,35.38909927192147,89.7489284535717,1.0,,,2020-01-23,1
China,Qinghai,41.20776092904389,119.69907135129853,,,,2020-01-23,1
China,Shaanxi,45.152421165163624,84.15206976889768,3.0,,,2020-01-23,1
China,Shandong,44.22945970021004,117.33743072962787,6.0,,,2020-01-23,1
China,Shanghai,25.200379035045493,111.70945708197084,16.0,,,2020-01-23,1
China,Shanxi,31.40398690249686,120.03796273780513,1.0,,,2020-01-23,1
China,Sichuan,29.707381797578087,104.01591065605399,8.0,,,2020-01-23,1
Taiwan,Taiwan,22.83107519026779,120.26208591201177,1.0,,,2020-01-23,1
China,Tianjin,39.26359745510166,74.09188357505202,4.0,,,2020-01-23,1
China,Tibet,51.5378600575003,120.77490007505556,,,,2020-01-23,1
US,Washington,57.05179005592337,-132.97638911431903,1.0,,,2020-01-23,1
China,Xinjiang,34.80432827923699,110.83585790071959,2.0,,,2020-01-23,1
China,Yunnan,25.312654004562276,100.35174065268409,2.0,,,2020-01-23,1
China,Zhejiang,37.4928407059283,97.11222755618893,27.0,,,2020-01-23,1
Japan,,43.82237527695548,144.37473418109545,1.0,,,2020-01-23,1
Thailand,,15.399043614563208,99.31310328909105,3.0,,,2020-01-23,1
South Korea,,37.7320658750266,127.4995838555698,1.0,,,2020-01-23,1
Singapore,,1.4420606094657697,103.82219630985085,1.0,,,2020-01-23,1
Philippines,,7.55395245527808,124.23768762872578,,,,2020-01-23,1
Malaysia,,4.9424308624978925,101.39192826362735,,,,2020-01-23,1
Vietnam,,18.21055331287173,106.19784965810993,2.0,,,2020-01-23,1
Australia,,-32.17477923660972,145.076257450291,,,,2020-01-23,1
